model,condition,accuracy,precision,recall,f1
Naive Bayes,baseline,0.8224842381069353,0.7105847520355293,0.9575104727707959,0.8157715839564922
Naive Bayes,oversampled,0.8228936379267993,0.7107988165680473,0.9585078795132655,0.8162745264588465
Random Forest,baseline,0.9776467698354213,0.9910899295482801,0.9541192898463994,0.9722532777721313
Random Forest,oversampled,0.9759272905919921,0.9865951742627346,0.9543187711948933,0.9701886027175015
